t,lwww,rwww
0.0,0.25314667431646526,0.13085332568353467
0.012,0.507410109188559,0.26289389081144077
0.024,0.7627903044035539,0.39612169559644594
0.036000000000000004,1.019287264820912,0.5305367351790878
0.048,1.276901000370825,0.6661389996291748
0.06,1.5356315260520255,0.8029284739479744
0.07200000000000001,1.7954788619288664,0.9409051380711332
0.084,2.056443033127674,1.0800689668723251
0.096,2.318524069832372,1.2204199301676273
0.108,2.5817220072793736,1.3619579927206258
0.12,2.846036885751753,1.5046831142482462
0.132,3.111468750572686,1.6485952494273126
0.14400000000000002,3.3780176520981673,1.7936943479018315
0.156,3.645683645709001,1.939980354290998
0.168,3.91446679180207,2.0874532081979287
0.18,4.184367155780885,2.236112844219113
0.192,4.455384808045409,2.3859591919545897
0.20400000000000001,4.727519823981164,2.5369921760188343
0.216,5.000772283947622,2.689211716052376
0.228,5.275142273265881,2.8426177267341166
0.24,5.5506298822056195,2.9972101177943777
0.252,5.827235205971349,3.1529887940286487
0.264,6.104958344687948,3.3099536553120497
0.276,6.383799403385494,3.468104596614504
0.28800000000000003,6.663758491983383,3.6274415080166147
0.3,6.944835725273755,3.787964274726243
0.312,7.227031222904205,3.9496727770957936
0.324,7.510345109359805,4.112566890640192
0.336,7.794777513944432,4.276646486055564
0.34800000000000003,8.080328570761392,4.441911429238605
0.36,8.366998418693358,4.608361581306639
0.372,8.654787201381623,4.775996798618373
0.384,8.94369506720467,4.944816932795327
0.396,9.233722169256048,5.1148218307439475
0.40800000000000003,9.524868665321586,5.28601133467841
0.42,9.817134717855915,5.458385282144081
0.432,10.110520493958335,5.6319435060416625
0.444,10.405026165347993,5.806685834652003
0.456,10.700651908338424,5.982612091661572
0.468,10.9973979038114,6.159722096188597
0.48,11.295264337190142,6.338015662809854
0.492,11.594251398411876,6.5174926015881205
0.504,11.894359281899726,6.6981527181002685
0.516,12.195588186533985,6.879995813466009
0.528,12.497938315622717,7.063021684377279
0.54,12.80140987687174,7.247230123128258
0.552,13.106003082353972,7.432620917646023
0.5640000000000001,13.411718148478156,7.61919385152184
0.5760000000000001,13.718555295956937,7.806948704043059
0.588,14.026514749774346,7.995885250225651
0.6,14.335596739152653,8.186003260847345
0.612,14.645801497518619,8.37730250248138
0.624,14.95712926246914,8.569782737530858
0.636,15.269580275736288,8.76344372426371
0.648,15.583154783151759,8.958285216848244
0.66,15.897853034610726,9.154306965389276
0.672,16.213675284035123,9.35150871596488
0.684,16.53062178933633,9.549890210663673
0.6960000000000001,16.848692812377294,9.749451187622707
0.708,17.167888618934082,9.95019138106592
0.72,17.48820947865686,10.15211052134314
0.732,17.809655665030338,10.355208334969662
0.744,18.132227455333627,10.559484544666374
0.756,18.45592513059959,10.76493886940041
0.768,18.78074897557362,10.971571024426382
0.78,19.106699278671897,11.179380721328103
0.792,19.433776331939132,11.38836766806087
0.804,19.76198043100575,11.59853156899425
0.8160000000000001,20.0913118750446,11.809872124955401
0.8280000000000001,20.42177096672712,12.022389033272884
0.84,20.75335801217902,12.236081987820981
0.852,21.086073320935473,12.45095067906453
0.864,21.41991720589577,12.66699479410423
0.876,21.75488998327757,12.884214016722431
0.888,22.090991972570585,13.102608027429415
0.9,22.428223496489856,13.322176503510143
0.912,22.76658488092855,13.542919119071449
0.924,23.106076454910276,13.764835545089722
0.936,23.44669855054098,13.987925449459018
0.9480000000000001,23.788451502960385,14.212188497039614
0.96,24.131335650292982,14.437624349707015
0.972,24.475351333598628,14.664232666401372
0.984,24.82049889682266,14.89201310317734
0.996,25.16677868674566,15.120965313254342
1.008,25.51419105293278,15.351088947067224
1.02,25.862736347682645,15.582383652317354
1.032,26.212414925975914,15.814849074024083
1.044,26.56322714542341,16.048484854576586
1.056,26.915173366213896,16.283290633786102
1.068,27.268253951061457,16.519266048938544
1.08,27.622469265152557,16.756410734847446
1.092,27.977819676092686,16.994724323907313
1.104,28.33430555385273,17.234206446147272
1.116,28.69192727071492,17.474856729285083
1.1280000000000001,29.050685201218506,17.716674798781497
1.1400000000000001,29.41057972210509,17.959660277894912
1.1520000000000001,29.771611212263632,18.203812787736368
1.164,30.133780052675164,18.44913194732484
1.176,30.49708662635718,18.695617373642825
1.188,30.861531318307755,18.943268681692246
1.2,31.227114515449376,19.192085484550628
1.212,31.593836606572477,19.442067393427525
1.224,31.961697982278725,19.693214017721278
1.236,32.330699034924045,19.945524965075965
1.248,32.70084015856135,20.198999841438653
1.26,33.07212174888313,20.453638251116875
1.272,33.44454420316367,20.70943979683633
1.284,33.81810792020115,20.96640407979886
1.296,34.192813300259445,21.224530699740566
1.308,34.568660745009794,21.483819254990216
1.32,34.9456506574722,21.74426934252781
1.332,35.32378344195667,22.005880558043344
1.344,35.70305950400424,22.268652495995784
1.356,36.083479250327855,22.532584749672168
1.368,36.46504308875308,22.79767691124694
1.3800000000000001,36.847751428158624,23.063928571841398
1.3920000000000001,37.231604678416716,23.331339321583307
1.4040000000000001,37.61660325033337,23.599908749666657
1.416,38.00274755558847,23.869636444411555
1.428,38.39003800667577,24.14052199332425
1.44,38.778475016842776,24.41256498315725
1.452,39.16805900003043,24.685764999969592
1.464,39.55879037081287,24.96012162918715
1.476,39.95066954433691,25.23563445566311
1.488,40.34369693626156,25.51230306373846
1.5,40.73787296269744,25.79012703730258
1.512,41.1331980401461,26.069105959853914
1.524,41.529672585439336,26.349239414560678
1.536,41.927297015678406,26.630526984321616
1.548,42.32607174817323,26.912968251826793
1.56,42.72599720038157,27.196562799618444
1.572,43.127073789848204,27.48131021015181
1.584,43.529301934144016,27.767210065856002
