t,x_dot,y_dot
3.86,0.3122542953864549,0.788664323937703
3.88,0.27798130827449696,0.6499039275578863
3.9,0.18358775847606978,0.38232064441719726
3.92,0.1959607719197315,0.37612885568442667
3.94,0.4041397733980656,0.7457648452408955
3.96,0.4202629144842457,0.7367993237976045
3.98,0.22006820137723815,0.36255141284022574
4.0,0.4519052838335119,0.7178271207489872
4.0200000000000005,0.5317686235637942,0.8345859019245144
4.04,0.38629493525644265,0.5919670141151023
4.0600000000000005,0.46740954457354655,0.707829413404798
4.08,0.4750792187165481,0.7027047009826287
4.1,0.48269271051978035,0.6974968874844389
4.12,0.4826927105197887,0.69749688748445
4.14,0.4902491196201647,0.6922065887804502
4.16,0.576339911742324,0.8044524863725117
4.18,0.3318317016034522,0.4578896203303401
4.2,0.5850538753469192,0.7981374941948532
4.22,0.505187122118475,0.681381047935048
4.24,0.5936986511312081,0.7917281151652217
4.26,0.5051871221184723,0.681381047935048
4.28,0.5125669489648488,0.6758470860100535
4.3,0.60227321677363,0.7852251072496569
4.32,0.3465907734761242,0.4468221327737998
4.34,0.7028585204062521,0.886053401705289
4.36,0.534339280945284,0.6587683156302204
4.38,0.45417801757763887,0.5416373797610452
4.4,0.5485396476740234,0.6469918204808023
4.42,0.5555429444425886,0.6409884536553334
4.44,0.6521900088412913,0.7442846828100813
4.46,0.2829622246797392,0.31592074894527533
4.48,0.5828909877131527,0.616224194009124
4.5,0.879349492126702,0.9195685578493873
4.5200000000000005,0.38859399180876664,0.41081612933941414
4.54,0.7771879836175388,0.8216322586788338
4.5600000000000005,0.5895576698456029,0.6098490917970267
4.58,0.39743642102933463,0.4022679130065987
4.6000000000000005,0.6993311769607047,0.7001766931488407
4.62,0.6026810926590354,0.5968832895891119
4.64,0.5049313699819591,0.4946645675741157
4.66,0.7143930613180249,0.684802198184814
4.68,0.6155194343194503,0.5836351487140512
4.7,0.5155698009519982,0.48356644129993187
4.72,0.8291063954891154,0.7692095392935749
4.74,0.5207978731086915,0.47793126929569496
4.76,0.5310686395086528,0.46649203952007223
4.78,0.6463285452120049,0.5493210104151658
4.8,0.6522639356759397,0.5422600105631337
4.82,0.6639026157914341,0.5279464722722615
4.84,0.44640301937706184,0.34713041769100506
4.86,0.675227255653249,0.5133832039153574
4.88,0.7974299882814118,0.5860178414413664
4.9,0.45748833230837005,0.3323847294882776
4.92,0.8037555049712042,0.5773115146319008
4.94,0.8099859704293388,0.5685369156051001
4.96,0.46460875900146137,0.3223567645550707
4.98,0.5872562941047932,0.39341932824843995
5.0,0.8339427542171152,0.5327766693342173
5.0200000000000005,0.4781870383427367,0.3018482051566518
5.04,0.9563740766854789,0.6036964103133147
5.0600000000000005,0.7221618309133315,0.44494544700593996
5.08,0.3646617172638811,0.21655339335142632
5.1000000000000005,0.4938848555463171,0.27541411012743655
5.12,0.7539084418515085,0.3887367002797959
5.14,0.5053941282430086,0.2536768766221942
5.16,0.7621842918566157,0.3722489302690313
5.18,0.6401289912453922,0.299805932850411
5.2,0.6464977051823917,0.2858136455788196
5.22,0.6525606117637639,0.2716861622895861
5.24,0.7882864499195952,0.3132070141497245
5.26,0.6610753492333643,0.2502560797286335
5.28,0.7949115666930351,0.29598946261144565
5.3,0.7980833101456364,0.28732767166842477
5.32,0.6688865398564281,0.228559663116773
5.34,0.6713324677575794,0.22127232212740822
5.36,0.8098228963220766,0.252351020271252
5.38,0.5416794736994524,0.1623531039677939
5.4,0.8151194371585513,0.23467949208598737
5.42,0.8200304089240329,0.21689695544034882
5.44,0.5482270488760599,0.13864445706892603
5.46,0.6880194963680197,0.16210458174482634
5.48,0.691382185970657,0.14710335049741285
5.5,0.6929409846454515,0.1395761964080977
5.5200000000000005,0.6944178368904153,0.13203253619309407
5.54,0.6958125680546878,0.12447326195726971
5.5600000000000005,0.8373003955563174,0.1357284363744049
5.58,0.6995024343433576,0.10171070323649056
5.6000000000000005,0.8400541561969788,0.11748691627412322
5.62,0.8412820991943737,0.10834477566784573
5.64,0.5616070354045544,0.06612654821930297
5.66,0.9834270010753543,0.11037585901843006
5.68,0.8443684716593403,0.08084580945890707
5.7,1.126930273010851,0.09554522569371615
5.72,0.5634651365054255,0.04777261284686363
5.74,0.5639513238112182,0.04164236985174652
5.76,0.5647235720456778,0.029367835658644648
5.78,0.7064093396637161,0.02519062605429445
5.8,0.706641506277661,0.0175072673709864
5.82,0.8481996754489018,0.007174357656247743
5.84,0.5654850264251166,-0.0013665592792588832
